# Intel instruction encoding, extracted from architecture ref manual

C6 /0 ib       |MOV r/m8,imm8
C7 /0 iw       |MOV r/m16,imm16
C7 /0 id       |MOV r/m32,imm32
0F 20 /r       |MOV r32,CR
0F 21 /r       |MOV r32,DR
0F 22 /r       |MOV CR,r32
0F 23 /r       |MOV DR,r32
A4             |MOVSB
A5             |MOVS
0F BE /r       |MOVSX r32,r/m8
0F BF /r       |MOVSX r32,r/m16
0F B6 /r       |MOVZX r32,r/m8
0F B7 /r       |MOVZX r32,r/m16
F6 /4          |MUL r/m8
F7 /4          |MUL r/m32
F6 /3          |NEG r/m8
F7 /3          |NEG r/m32
90             |NOP
F6 /2          |NOT r/m8
F7 /2          |NOT r/m32
0C ib          |OR AL,imm8
0D iw          |OR AX,imm16
0D id          |OR EAX,imm32
80 /1 ib       |OR r/m8,imm8
81 /1 iw       |OR r/m16,imm16
81 /1 id       |OR r/m32,imm32
83 /1 ib       |OR r/m32,imm8
08 /r          |OR r/m8,r8
09 /r          |OR r/m32,r32
0A /r          |OR r8,r/m8
0B /r          |OR r32,r/m32
E6 ib          |OUT imm8,AL
E7 ib          |OUT imm8,EAX
EE             |OUT DX,AL
EF             |OUT DX,EAX
6E             |OUTSB
6F             |OUTS
8F /0          |POP m32
58+rd          |POP r32
1F             |POP DS
07             |POP ES
17             |POP SS
0F A1          |POP FS
0F A9          |POP GS
61             |POPA
9D             |POPF
0F,18,/0       |PREFETCHNTA m8
0F,18,/1       |PREFETCHT0 m8
0F,18,/2       |PREFETCHT1 m8
0F,18,/3       |PREFETCHT2 m8
FF /6          |PUSH r/m32
50+rd          |PUSH r32
6A ib          |PUSH imm8
68 iw          |PUSH imm16
68 id          |PUSH imm32
0E             |PUSH CS
16             |PUSH SS
1E             |PUSH DS
06             |PUSH ES
0F A0          |PUSH FS
0F A8          |PUSH GS
60             |PUSHA
9C             |PUSHF
D0 /2          |RCL r/m8,1
D2 /2          |RCL r/m8,CL
C0 /2 ib       |RCL r/m8,imm8
D1 /2          |RCL r/m32,1
D3 /2          |RCL r/m32,CL
C1 /2 ib       |RCL r/m32,imm8
D0 /3          |RCR r/m8,1
D2 /3          |RCR r/m8,CL
C0 /3 ib       |RCR r/m8,imm8
D1 /3          |RCR r/m32,1
D3 /3          |RCR r/m32,CL
C1 /3 ib       |RCR r/m32,imm8
D0 /0          |ROL r/m8,1
D2 /0          |ROL r/m8,CL
C0 /0 ib       |ROL r/m8,imm8
D1 /0          |ROL r/m32,1
D3 /0          |ROL r/m32,CL
C1 /0 ib       |ROL r/m32,imm8
D0 /1          |ROR r/m8,1
